SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE
Cc1c(I)ccc2ccc(=O)[nH]c12,2.4411199999999997,1,1,1,32.86,21,62.022700000000015,True,False,False,False,285.08399999999983,False,False,True
O=C(O)c1cc(Cl)cn(Cc2cccc(Cl)c2)c1=O,2.901600000000002,1,4,3,59.3,28,73.22530000000002,True,False,False,False,298.12499999999983,False,False,True
O=C(c1ccccc1)N1CCCC1c1ccc[nH]c1=O,2.3522,1,2,2,53.17,36,76.51620000000003,True,False,False,False,268.31599999999975,False,False,True
Cn1c(=O)ccc2c(NCCO)ncnc21,-0.2673000000000005,2,6,5,80.04,28,60.35450000000002,True,False,False,False,220.2320000000001,False,False,True
Nc1ccc(C(F)(F)F)n(C2CC2)c1=O,1.7842,1,3,2,48.02,24,48.38740000000001,True,False,False,False,218.17800000000005,False,False,True
Nc1ccc(=O)n(CC(=O)O)c1,-0.4849000000000001,2,5,3,85.32000000000001,20,42.7502,True,False,False,False,168.15200000000004,False,False,True
O=C(O)c1cc(Cl)c(=O)n(Cc2cccc(Cl)c2)c1,2.901600000000001,1,4,3,59.3,28,73.22530000000002,True,False,False,False,298.12499999999983,False,False,True
CCn1c(=O)c(-c2ccn[nH]2)cc2c(C)nc(N)nc21,1.0921199999999998,2,6,5,102.48,34,76.2031,True,False,False,False,270.2959999999997,False,False,True
O=C(O)c1cccc(=O)n1CC(F)(F)F,1.1088,1,4,2,59.3,21,43.7163,True,False,False,False,221.134,False,False,True
O=c1[nH]cccc1S(=O)(=O)NC1CCCCC1,0.9858999999999996,2,3,3,79.03,33,64.25720000000003,True,False,False,False,256.3270000000001,False,False,True
O=C1CCCc2[nH]c(=O)ccc21,0.8938999999999999,1,2,0,49.93,21,44.33120000000002,True,False,False,False,163.17600000000007,False,False,True
