SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE,INCHI,INCHI_KEY,CID,VENDORS,Combi-Blocks_link,Sigma-Aldrich_link,TCI (Tokyo Chemical Industry)_link,Thermo Fisher Scientific_link,"VWR, Part of Avantor_link",Ambeed_link,Name,Etot (Eh),C6AA_DISPERSION,C8AA_DISPERSION,Molecular Polarizability,Dipole from Density,HOMO/LUMO Gap (eV),Repulsion Energy (Eh),Isotropic ES (Eh),AnisotropicES (Eh),AnisotropicXC (Eh),Dispersion Energy (Eh),HOMO Energy (Eh),LUMO Energy (Eh),NFOD,Molecular Dipole,HAS_5MEMBERED_HETEROCYCLE_OR_QUINOLINE
CCOC(=O)c1cc2cccnc2[nH]1,1.7396,1,3,3,54.98,24,52.0502,True,False,False,False,190.202,False,False,False,"InChI=1S/C10H10N2O2/c1-2-14-10(13)8-6-7-4-3-5-11-9(7)12-8/h3-6H,2H2,1H3,(H,11,12)",CBIVEMGUNRNUEB-UHFFFAOYSA-N,21868741,"['Ambeed', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?SS-7210,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/221675-35-0.html,CBIVEMGUNRNUEB-UHFFFAOYSA-N,-40.52157004,7098.147703,168421.5823,131.13722,1.711,2.647644226,0.549935919,0.056943942,0.003084936,0.01611132,-0.021223712,-0.3815145,-0.2842153,0.243,1.739,True
COc1n[nH]c2ncc([N+](=O)[O-])cc12,0.8747,1,5,3,93.94,20,47.0951,True,False,False,False,194.15,False,False,False,"InChI=1S/C7H6N4O3/c1-14-7-5-2-4(11(12)13)3-8-6(5)9-10-7/h2-3H,1H3,(H,8,9,10)",QKCRVRSYXLBOET-UHFFFAOYSA-N,67053711,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?QK-7101,NONE,NONE,NONE,NONE,NONE,QKCRVRSYXLBOET-UHFFFAOYSA-N,-41.85330094,5726.261127,134665.6698,115.931118,5.509,2.526321926,0.428804125,0.079274091,0.005552344,0.012683896,-0.018820128,-0.4128864,-0.3200458,0.3745,7.489,True
NNC(=O)c1ccc2ccccc2n1,0.8383,2,3,2,68.01,23,53.3966,True,False,False,False,187.202,False,False,False,"InChI=1S/C10H9N3O/c11-13-10(14)9-6-5-7-3-1-2-4-8(7)12-9/h1-6H,11H2,(H,13,14)",JTDPJYXDDYUJBS-UHFFFAOYSA-N,246466,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?ST-2182,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/5382-44-5.html,JTDPJYXDDYUJBS-UHFFFAOYSA-N,-38.81016935,7205.451703,174840.0967,134.668154,2.935,2.29574074,0.588748427,0.05035399,0.005584585,0.026148465,-0.022221796,-0.3744566,-0.2900897,0.3995,2.832,True
O=C(O)c1cccc2ccnc(O)c12,1.6386,2,4,2,70.42,21,50.3671,True,False,False,False,189.17,False,False,False,"InChI=1S/C10H7NO3/c12-9-8-6(4-5-11-9)2-1-3-7(8)10(13)14/h1-5H,(H,11,12)(H,13,14)",QBXCLJYVSNJXSS-UHFFFAOYSA-N,355244,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?QD-7795,NONE,NONE,NONE,NONE,NONE,QBXCLJYVSNJXSS-UHFFFAOYSA-N,-40.12254338,6393.081029,157429.3082,125.871919,2.335,2.92807484,0.544925807,0.076317288,0.003716507,0.012360987,-0.022125307,-0.3881085,-0.2805037,0.2125,2.295,True
c1cnc2[nH]c3c(c2c1)CCNC3,1.2086,2,2,0,40.71,24,51.5044,True,False,False,False,173.219,False,False,False,"InChI=1S/C10H11N3/c1-2-8-7-3-5-11-6-9(7)13-10(8)12-4-1/h1-2,4,11H,3,5-6H2,(H,12,13)",NERRGHOQSMUIJO-UHFFFAOYSA-N,23113747,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/1354893-21-2.html,NERRGHOQSMUIJO-UHFFFAOYSA-N,-35.81334292,6790.195432,161000.9578,128.713624,0.989,3.196777515,0.555655471,0.021487322,0.007084875,0.024021184,-0.0236003,-0.3606749,-0.2431955,0.1619,1.679,True
Cc1ccc2cccc(C)c2n1,2.85164,0,1,2,12.89,23,51.217,True,False,False,False,157.216,False,False,False,"InChI=1S/C11H11N/c1-8-4-3-5-10-7-6-9(2)12-11(8)10/h3-7H,1-2H3",BELFSAVWJLQIBB-UHFFFAOYSA-N,15101,"['Combi-Blocks', 'Sigma-Aldrich', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?OR-2001,https://www.sigmaaldrich.com/catalog/product/aldrich/r158348,NONE,NONE,NONE,https://www.ambeed.com/products/1463-17-8.html,BELFSAVWJLQIBB-UHFFFAOYSA-N,-32.09429132,6310.297464,153035.5306,126.234122,1.178,2.605497358,0.581696535,0.010620569,0.005005378,0.022362347,-0.021618376,-0.3600498,-0.2642995,0.241,0.898,True
Cn1ccc(=O)c2ccccc21,1.5385,0,2,1,22.0,21,49.189,True,False,False,False,159.188,False,False,False,"InChI=1S/C10H9NO/c1-11-7-6-10(12)8-4-2-3-5-9(8)11/h2-7H,1H3",CSJAXRKDCCWCSJ-UHFFFAOYSA-N,6748,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/83-54-5.html,CSJAXRKDCCWCSJ-UHFFFAOYSA-N,-32.99501791,5653.07272,137733.7797,119.334094,6.44,2.840571098,0.553548319,0.036740537,0.003082673,0.014647024,-0.020570494,-0.3677088,-0.2633197,0.2133,6.871,True
Cc1ccc2cc(Cl)cc(C)c2n1,3.50504,0,1,2,12.89,23,56.227,True,False,False,False,191.661,False,False,False,"InChI=1S/C11H10ClN/c1-7-5-10(12)6-9-4-3-8(2)13-11(7)9/h3-6H,1-2H3",MVXUKVOJHFTFPP-UHFFFAOYSA-N,17039987,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?OR-2298,NONE,NONE,NONE,NONE,NONE,MVXUKVOJHFTFPP-UHFFFAOYSA-N,-36.14767288,7643.474087,201612.0243,138.365658,2.407,2.565641551,0.562998776,0.013955087,0.00191673,0.021251585,-0.023400204,-0.3698721,-0.2755865,0.264,2.474,True
COc1cc2cc(C=O)[nH]c2cn1,1.384,1,3,3,54.98,21,48.0332,True,False,False,False,176.175,False,False,False,"InChI=1S/C9H8N2O2/c1-13-9-3-6-2-7(5-12)11-8(6)4-10-9/h2-5,11H,1H3",ZFQNWDOJNLGVLV-UHFFFAOYSA-N,17750421,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?QW-5421,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/17288-48-1.html,ZFQNWDOJNLGVLV-UHFFFAOYSA-N,-37.32985812,5852.756152,140252.508,119.707742,3.352,2.290044908,0.512866546,0.048358796,0.003987946,0.013569601,-0.018954014,-0.3841283,-0.2999707,0.3944,4.525,True
c1cc2n(c1)CCNC2c1ccncc1,1.5757,1,3,1,29.85,28,58.5147,True,False,False,False,199.257,False,False,False,"InChI=1S/C12H13N3/c1-2-11-12(10-3-5-13-6-4-10)14-7-9-15(11)8-1/h1-6,8,12,14H,7,9H2",MPRZWCUIBYQXCV-UHFFFAOYSA-N,2770918,['Sigma-Aldrich'],NONE,https://www.sigmaaldrich.com/catalog/product/aldrich/cds011095?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,NONE,MPRZWCUIBYQXCV-UHFFFAOYSA-N,-41.08870531,9318.962728,221393.5792,151.731738,4.302,3.192915122,0.650542483,0.018392034,0.009052143,0.030307858,-0.029480088,-0.3552057,-0.2378682,0.1683,5.183,True
Clc1ccc(Cn2cncn2)cn1,1.3748,0,4,2,43.6,20,48.371,True,False,False,False,194.625,False,False,False,"InChI=1S/C8H7ClN4/c9-8-2-1-7(3-11-8)4-13-6-10-5-12-13/h1-3,5-6H,4H2",XLIYFSLQBRKSNS-UHFFFAOYSA-N,1473096,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?HE-2687,NONE,NONE,NONE,NONE,NONE,XLIYFSLQBRKSNS-UHFFFAOYSA-N,-36.94161931,6601.5959,171890.1535,127.208721,4.094,3.323237857,0.460902331,0.028579495,0.002487413,0.029628603,-0.019762817,-0.3975111,-0.2753843,0.1737,4.11,True
C=CCc1cnc2c(c1)ncn2C,1.6968,0,3,3,30.71,24,52.41,True,False,False,False,173.219,False,False,False,"InChI=1S/C10H11N3/c1-3-4-8-5-9-10(11-6-8)13(2)7-12-9/h3,5-7H,1,4H2,2H3",HAIHJGPDLSURFH-UHFFFAOYSA-N,46737960,"['Combi-Blocks', 'Sigma-Aldrich']",https://www.combi-blocks.com/cgi-bin/find.cgi?ST-0676,https://www.sigmaaldrich.com/catalog/product/aldrich/ade001228?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,NONE,HAIHJGPDLSURFH-UHFFFAOYSA-N,-35.79036277,6923.310972,164149.5271,130.838928,2.244,2.929041327,0.569403095,0.022602141,0.005308118,0.027584916,-0.022116892,-0.3641805,-0.2565402,0.1698,2.103,True
COC(=O)c1cnc2[nH]ncc2c1,0.7445,1,4,2,67.87,20,45.2282,True,False,False,False,177.163,False,False,False,"InChI=1S/C8H7N3O2/c1-13-8(12)6-2-5-4-10-11-7(5)9-3-6/h2-4H,1H3,(H,9,10,11)",WAYSJYROSIMXRC-UHFFFAOYSA-N,57415679,"['Combi-Blocks', 'Ambeed', 'Sigma-Aldrich']",https://www.combi-blocks.com/cgi-bin/find.cgi?QB-5639,https://www.sigmaaldrich.com/catalog/product/aldrich/ade001315?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,https://www.ambeed.com/products/1196156-42-9.html,WAYSJYROSIMXRC-UHFFFAOYSA-N,-37.60560916,5493.370031,130931.2077,115.143077,2.21,2.770179489,0.470239625,0.057947737,0.001304151,0.019836229,-0.018056686,-0.3918501,-0.2900478,0.2322,2.244,True
OCc1ccc2ccncc2c1,1.7271,1,2,2,33.12,21,47.6658,True,False,False,False,159.188,False,False,False,"InChI=1S/C10H9NO/c12-7-8-1-2-9-3-4-11-6-10(9)5-8/h1-6,12H,7H2",VLONTUPZTAEOIH-UHFFFAOYSA-N,12018710,"['Ambeed', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?QC-0701,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/158654-76-3.html,VLONTUPZTAEOIH-UHFFFAOYSA-N,-32.97638637,5660.949099,138097.7229,119.476932,2.544,2.574695735,0.546662761,0.030441755,0.004196232,0.018213192,-0.019874996,-0.3709158,-0.2762975,0.2489,2.7,True
Cc1cnc2[nH]c(C(=O)O)cc2c1,1.56952,2,3,2,65.98,21,47.79,True,False,False,False,176.175,False,False,False,"InChI=1S/C9H8N2O2/c1-5-2-6-3-7(9(12)13)11-8(6)10-4-5/h2-4H,1H3,(H,10,11)(H,12,13)",MLSMBSUFCMOUBM-UHFFFAOYSA-N,18455976,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?QV-5101,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/1638767-97-1.html,MLSMBSUFCMOUBM-UHFFFAOYSA-N,-37.36451306,5822.685234,140275.5885,119.230051,1.695,2.595403488,0.513698616,0.061405333,0.002282745,0.01349071,-0.019242348,-0.3811026,-0.2857233,0.2607,2.317,True
Nc1cc(OCc2cccnc2)[nH]n1,0.9659,2,4,4,76.82,24,51.5691,True,False,False,False,190.206,False,False,False,"InChI=1S/C9H10N4O/c10-8-4-9(13-12-8)14-6-7-2-1-3-11-5-7/h1-5H,6H2,(H3,10,12,13)",MNRAYROCGVNEIG-UHFFFAOYSA-N,75464904,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?QM-4382,NONE,NONE,NONE,NONE,NONE,MNRAYROCGVNEIG-UHFFFAOYSA-N,-40.10238548,7258.246043,170824.5081,133.502822,1.076,3.164147947,0.5414511,0.041829237,0.005232392,0.026913215,-0.020819017,-0.3624779,-0.2461976,0.1861,1.971,True
Nc1ccc(-n2cccn2)nc1,0.8495,1,4,2,56.73,20,45.7714,True,False,False,False,160.18,False,False,False,"InChI=1S/C8H8N4/c9-7-2-3-8(10-6-7)12-5-1-4-11-12/h1-6H,9H2",UUOKAVKPEMXSMG-UHFFFAOYSA-N,16774822,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?ST-3822,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/154095-29-1.html,UUOKAVKPEMXSMG-UHFFFAOYSA-N,-32.89185904,5443.722476,130386.3325,117.105171,4.099,3.213511596,0.498518878,0.023648628,0.006367045,0.026956701,-0.018023881,-0.366302,-0.2482076,0.17,3.946,True
