SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,INCHI,INCHI_KEY,CID,VENDORS,Combi-Blocks_link,Sigma-Aldrich_link,TCI (Tokyo Chemical Industry)_link,Thermo Fisher Scientific_link,"VWR, Part of Avantor_link",Ambeed_link,Name,Etot (Eh),C6AA_DISPERSION,C8AA_DISPERSION,Molecular Polarizability,Dipole from Density,HOMO/LUMO Gap (eV),Repulsion Energy (Eh),Isotropic ES (Eh),AnisotropicES (Eh),AnisotropicXC (Eh),Dispersion Energy (Eh),HOMO Energy (Eh),LUMO Energy (Eh),NFOD,Molecular Dipole,HAS_5MEMBERED_HETEROCYCLE_OR_QUINOLINE,HAS_PYRADINONE
CCCc1cc(C(=O)O)cc(Cl)n1,2.3857,1,3,4,50.19,23,50.2013,True,False,False,False,199.637,False,False,"InChI=1S/C9H10ClNO2/c1-2-3-7-4-6(9(12)13)5-8(10)11-7/h4-5H,2-3H2,1H3,(H,12,13)",ADZGFLWGSFWWDY-UHFFFAOYSA-N,12586779,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/57663-81-7.html,ADZGFLWGSFWWDY-UHFFFAOYSA-N,-39.99964875,6960.139492,177084.267,128.332167,3.52,2.630604192,0.442713551,0.059832593,0.000940391,0.014329681,-0.020295653,-0.3966533,-0.2999803,0.2496,3.985,False,False
OCc1ccnc2c1OCCO2,0.3451,1,4,2,51.58,21,41.1498,True,False,False,False,167.164,False,False,"InChI=1S/C8H9NO3/c10-5-6-1-2-9-8-7(6)11-3-4-12-8/h1-2,10H,3-5H2",OSGBHXFASGUEFJ-UHFFFAOYSA-N,50990664,"['Combi-Blocks', 'Sigma-Aldrich']",https://www.combi-blocks.com/cgi-bin/find.cgi?QB-0760,https://www.sigmaaldrich.com/catalog/product/aldrich/ade000048?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,NONE,OSGBHXFASGUEFJ-UHFFFAOYSA-N,-36.8416691,4951.779155,114690.3474,107.28258,1.306,3.454471555,0.403607889,0.06015974,0.006935946,0.007550206,-0.018363628,-0.3790853,-0.2521358,0.1025,1.491,False,False
CCOC(=O)c1cccc(C=O)n1,1.0708,0,4,4,56.26,22,45.581,True,False,False,False,179.175,False,False,"InChI=1S/C9H9NO3/c1-2-13-9(12)8-5-3-4-7(6-11)10-8/h3-6H,2H2,1H3",PILDWRGFGKVUSE-UHFFFAOYSA-N,44206644,"['Ambeed', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?ST-8771,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/21908-10-1.html,PILDWRGFGKVUSE-UHFFFAOYSA-N,-38.96323485,5852.835642,137642.36,118.037605,0.803,2.222032757,0.463266218,0.068850552,0.000519583,0.014048284,-0.017874378,-0.3953413,-0.3136831,0.412,2.076,False,False
COC(=O)Cc1ccc(OC)nc1,0.8057,0,4,5,48.42,24,46.509,True,False,False,False,181.191,False,False,"InChI=1S/C9H11NO3/c1-12-8-4-3-7(6-10-8)5-9(11)13-2/h3-4,6H,5H2,1-2H3",LYJJNCKUSDHNQR-UHFFFAOYSA-N,57654509,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?YC-1851,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/943541-27-3.html,LYJJNCKUSDHNQR-UHFFFAOYSA-N,-40.01555608,6233.163411,143306.9821,120.979011,1.755,3.584999232,0.467784551,0.066309315,-0.000130416,0.012978631,-0.019065874,-0.3783839,-0.2466376,0.1066,1.848,False,False
COC(=O)c1cccc(CN)n1,0.3269,1,4,4,65.21,22,43.4679,True,False,False,False,166.18,False,False,"InChI=1S/C8H10N2O2/c1-12-8(11)7-4-2-3-6(5-9)10-7/h2-4H,5,9H2,1H3",BXSRCFBJJKYNGE-UHFFFAOYSA-N,29921664,['Sigma-Aldrich'],NONE,https://www.sigmaaldrich.com/catalog/product/aldrich/cds022894?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,NONE,BXSRCFBJJKYNGE-UHFFFAOYSA-N,-36.19083656,5409.405647,124913.7635,113.637291,4.563,2.465831355,0.432273092,0.059033319,0.005331267,0.017829313,-0.017623206,-0.3720721,-0.2814545,0.2858,4.571,False,False
Cc1ncc(C(=O)O)c(C)c1C,1.70506,1,3,4,50.19,23,45.4073,True,False,False,False,165.192,False,False,"InChI=1S/C9H11NO2/c1-5-6(2)8(9(11)12)4-10-7(5)3/h4H,1-3H3,(H,11,12)",COGIRZHGENSUPE-UHFFFAOYSA-N,18342231,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?HF-2663,NONE,NONE,NONE,NONE,NONE,COGIRZHGENSUPE-UHFFFAOYSA-N,-35.95688457,5636.408339,131216.5776,115.595238,4.147,2.780628983,0.465515773,0.059921843,0.002383694,0.014682288,-0.020308436,-0.3730868,-0.2709006,0.1885,4.646,False,False
CC(C)=NNC(=O)c1ccncc1,1.2072,1,3,4,54.35,24,50.4862,True,False,False,False,177.207,False,False,"InChI=1S/C9H11N3O/c1-7(2)11-12-9(13)8-3-5-10-6-4-8/h3-6H,1-2H3,(H,12,13)",LRCPYBHPYVZWBL-UHFFFAOYSA-N,72487,['Sigma-Aldrich'],NONE,https://www.sigmaaldrich.com/catalog/product/aldrich/s420018,NONE,NONE,NONE,NONE,LRCPYBHPYVZWBL-UHFFFAOYSA-N,-37.68075831,6647.871064,154677.7691,126.927307,4.927,2.605456043,0.512365252,0.044264752,0.00726048,0.027087724,-0.019932285,-0.3768053,-0.2810565,0.2771,5.716,False,False
OCCCc1ccc(Cl)nc1,1.6599,1,2,4,33.12,21,44.6538,True,False,False,False,171.627,False,False,"InChI=1S/C8H10ClNO/c9-8-4-3-7(6-10-8)2-1-5-11/h3-4,6,11H,1-2,5H2",WVYMRSMUEYGVDQ-UHFFFAOYSA-N,14071569,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/117528-27-5.html,WVYMRSMUEYGVDQ-UHFFFAOYSA-N,-33.76386833,5550.661064,141459.0441,115.059949,3.379,3.401666673,0.400177348,0.036079758,0.002111028,0.015728861,-0.017354738,-0.3890509,-0.264042,0.1175,3.613,False,False
c1cncc(NCc2ccsc2)c1,2.7552,1,3,3,24.92,23,55.8827,True,False,False,False,190.271,False,False,"InChI=1S/C10H10N2S/c1-2-10(7-11-4-1)12-6-9-3-5-13-8-9/h1-5,7-8,12H,6H2",KWFURRGBEZMQCO-UHFFFAOYSA-N,28430022,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/1019559-79-5.html,KWFURRGBEZMQCO-UHFFFAOYSA-N,-35.57679483,8032.811658,216480.6531,143.908898,3.294,3.206516883,0.519492158,0.013132388,0.00578502,0.024081742,-0.023286862,-0.3625473,-0.24471,0.1886,3.336,False,False
CCNc1cccnc1C,1.82182,1,2,4,24.92,22,43.1377,True,False,False,False,136.198,False,False,"InChI=1S/C8H12N2/c1-3-9-8-5-4-6-10-7(8)2/h4-6,9H,3H2,1-2H3",KMFBUFMVRYPIBY-UHFFFAOYSA-N,67266326,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/1346544-43-1.html,KMFBUFMVRYPIBY-UHFFFAOYSA-N,-29.09355197,4758.448355,108234.201,107.276902,3.371,3.468557286,0.434620602,0.016388871,0.007699598,0.021568714,-0.01711056,-0.3509238,-0.2234567,0.1129,3.823,False,False
