SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE,INCHI,INCHI_KEY,CID,VENDORS,Combi-Blocks_link,Sigma-Aldrich_link,TCI (Tokyo Chemical Industry)_link,Thermo Fisher Scientific_link,"VWR, Part of Avantor_link",Ambeed_link
CCCc1cc(C(=O)O)cc(Cl)n1,2.3857,1,3,4,50.19,23,50.2013,True,False,False,False,199.637,False,False,False,"InChI=1S/C9H10ClNO2/c1-2-3-7-4-6(9(12)13)5-8(10)11-7/h4-5H,2-3H2,1H3,(H,12,13)",ADZGFLWGSFWWDY-UHFFFAOYSA-N,12586779,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/57663-81-7.html
CCOC(=O)c1cc2cccnc2[nH]1,1.7396,1,3,3,54.98,24,52.0502,True,False,False,False,190.202,False,False,False,"InChI=1S/C10H10N2O2/c1-2-14-10(13)8-6-7-4-3-5-11-9(7)12-8/h3-6H,2H2,1H3,(H,11,12)",CBIVEMGUNRNUEB-UHFFFAOYSA-N,21868741,"['Ambeed', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?SS-7210,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/221675-35-0.html
OCc1ccnc2c1OCCO2,0.3451,1,4,2,51.58,21,41.1498,True,False,False,False,167.164,False,False,False,"InChI=1S/C8H9NO3/c10-5-6-1-2-9-8-7(6)11-3-4-12-8/h1-2,10H,3-5H2",OSGBHXFASGUEFJ-UHFFFAOYSA-N,50990664,"['Combi-Blocks', 'Sigma-Aldrich']",https://www.combi-blocks.com/cgi-bin/find.cgi?QB-0760,https://www.sigmaaldrich.com/catalog/product/aldrich/ade000048?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,NONE
CCOC(=O)c1cccc(C=O)n1,1.0708,0,4,4,56.26,22,45.581,True,False,False,False,179.175,False,False,False,"InChI=1S/C9H9NO3/c1-2-13-9(12)8-5-3-4-7(6-11)10-8/h3-6H,2H2,1H3",PILDWRGFGKVUSE-UHFFFAOYSA-N,44206644,"['Ambeed', 'Combi-Blocks']",https://www.combi-blocks.com/cgi-bin/find.cgi?ST-8771,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/21908-10-1.html
COc1n[nH]c2ncc([N+](=O)[O-])cc12,0.8747,1,5,3,93.94,20,47.0951,True,False,False,False,194.15,False,False,False,"InChI=1S/C7H6N4O3/c1-14-7-5-2-4(11(12)13)3-8-6(5)9-10-7/h2-3H,1H3,(H,8,9,10)",QKCRVRSYXLBOET-UHFFFAOYSA-N,67053711,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?QK-7101,NONE,NONE,NONE,NONE,NONE
NNC(=O)c1ccc2ccccc2n1,0.8383,2,3,2,68.01,23,53.3966,True,False,False,False,187.202,False,False,False,"InChI=1S/C10H9N3O/c11-13-10(14)9-6-5-7-3-1-2-4-8(7)12-9/h1-6H,11H2,(H,13,14)",JTDPJYXDDYUJBS-UHFFFAOYSA-N,246466,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?ST-2182,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/5382-44-5.html
O=C(O)c1cccc2ccnc(O)c12,1.6386,2,4,2,70.42,21,50.3671,True,False,False,False,189.17,False,False,False,"InChI=1S/C10H7NO3/c12-9-8-6(4-5-11-9)2-1-3-7(8)10(13)14/h1-5H,(H,11,12)(H,13,14)",QBXCLJYVSNJXSS-UHFFFAOYSA-N,355244,['Combi-Blocks'],https://www.combi-blocks.com/cgi-bin/find.cgi?QD-7795,NONE,NONE,NONE,NONE,NONE
COC(=O)Cc1ccc(OC)nc1,0.8057,0,4,5,48.42,24,46.509,True,False,False,False,181.191,False,False,False,"InChI=1S/C9H11NO3/c1-12-8-4-3-7(6-10-8)5-9(11)13-2/h3-4,6H,5H2,1-2H3",LYJJNCKUSDHNQR-UHFFFAOYSA-N,57654509,"['Combi-Blocks', 'Ambeed']",https://www.combi-blocks.com/cgi-bin/find.cgi?YC-1851,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/943541-27-3.html
COC(=O)c1cccc(CN)n1,0.3269,1,4,4,65.21,22,43.4679,True,False,False,False,166.18,False,False,False,"InChI=1S/C8H10N2O2/c1-12-8(11)7-4-2-3-6(5-9)10-7/h2-4H,5,9H2,1H3",BXSRCFBJJKYNGE-UHFFFAOYSA-N,29921664,['Sigma-Aldrich'],NONE,https://www.sigmaaldrich.com/catalog/product/aldrich/cds022894?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral,NONE,NONE,NONE,NONE
c1cnc2[nH]c3c(c2c1)CCNC3,1.2086,2,2,0,40.71,24,51.5044,True,False,False,False,173.219,False,False,False,"InChI=1S/C10H11N3/c1-2-8-7-3-5-11-6-9(7)13-10(8)12-4-1/h1-2,4,11H,3,5-6H2,(H,12,13)",NERRGHOQSMUIJO-UHFFFAOYSA-N,23113747,['Ambeed'],NONE,NONE,NONE,NONE,NONE,https://www.ambeed.com/products/1354893-21-2.html
