SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H
O=c1[nH]c2ccc([N+](=O)[O-])cc2c2ccccc12,2.589500000000001,1,3,1,76.0,26,68.72910000000003,False
CC(C)(C)C1CCc2nc3ccccc3c(C(=O)O)c2C1,4.084000000000003,1,3,1,50.19,42,83.67230000000004,False
Cc1[nH]nc2c1c(=O)[nH]c1ccc(Cl)cc12,2.36622,2,2,1,61.54,24,63.96740000000001,False
O=c1c(-c2ccccc2)c(O)[nH]c2ccccc12,2.9007000000000005,2,2,2,53.09,29,71.66950000000003,False
COc1c2c(nc3ccccc13)OC(C(C)(O)CO)C2,1.2901999999999996,2,5,7,71.81,37,74.12460000000003,False
O=c1c2c([nH]c3ccc(Oc4ccccc4)cc13)CCC2,3.8091000000000017,1,2,2,42.09,36,83.10970000000003,False
COc1ccc2nc3ccc(OC)cc3c(Cl)c2c1,4.058600000000003,0,3,4,31.35,31,77.36300000000003,False
Cc1nc2ccccc2c(O)c1I,2.853420000000001,1,2,2,33.120000000000005,21,60.861800000000024,False
Cc1nc2c(C)cccc2c(O)c1CCC(=O)O,2.57444,2,4,6,70.42,33,68.83860000000003,False
CCOC(=O)c1c2n(c3ccc(F)cc3c1=O)CCS2,2.423,0,5,3,48.3,32,74.84650000000002,False
CCc1nc(SCC(=O)OC)c(C#N)c2c1CCCC2,2.659580000000001,0,5,6,62.98,38,77.71200000000003,False
Cc1[nH]c(=O)c(CN)c2c1CCCC2,1.02082,2,2,3,58.879999999999995,30,56.33310000000002,False
Cc1[nH]c2ccccc2c(=O)c1CN,1.29522,2,2,3,58.879999999999995,26,57.19710000000001,False
Cc1ccc2nc3c(c(Cl)c2c1)CCCC3,4.075420000000002,0,1,1,12.89,30,68.13200000000002,False
Cc1c(C(=O)O)c(=O)c2ccccc2n1C,1.5451199999999998,1,4,3,59.3,27,60.885300000000015,False
