SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR
O=C(Nc1ccncc1)c1cnc2ccc(Cl)cc2c1O,3.2411000000000008,2,4,3,75.11,31,80.60800000000002,True,True
Cc1cc(Nc2ccccn2)cc(C2CCNCC2)n1,2.9956200000000006,2,4,4,49.84,40,81.33840000000004,True,True
Sc1ncc(-c2ccncc2)cc1-c1ccncc1,3.4943000000000017,1,4,3,38.67,30,77.95100000000002,True,True
Cc1c(C)c2cccnc2c2ncccc12,3.399840000000002,0,2,2,25.78,28,66.51800000000003,True,True
O=c1ccc2nccc3c4ccccc4n1c23,2.4387000000000008,0,3,0,34.370000000000005,25,67.66000000000003,True,True
CC(=O)c1ccc2ccc3cccnc3c2n1,2.9856000000000007,0,3,2,42.85,27,67.04850000000003,True,True
Cc1cc2cc(Br)cnc2[nH]c1=O,1.99402,1,2,1,45.75,20,54.800700000000006,True,True
FC(F)(F)c1ccc(-c2ccc(C(F)(F)F)cn2)nc1,4.181200000000001,0,2,1,25.78,26,57.47200000000001,True,True
Cc1cccnc1-c1cncc(C=O)c1,2.26452,0,3,3,42.85,25,57.59250000000002,True,True
Cc1cc(F)cnc1-c1cccnc1,2.59112,0,2,2,25.78,23,52.163000000000025,True,True
Cn1c(=O)ccc2c(N)nccc21,0.5156999999999996,1,4,2,60.91,22,51.396400000000014,True,True
OCc1cc(O)ncc1-c1ccncc1,1.3415,2,4,4,66.24000000000001,25,55.05560000000003,True,True
O=Cc1cc(-c2ccncc2)c(Cl)cn1,2.6095000000000006,0,3,2,42.85,22,57.86550000000002,True,True
O=Cc1ccc(-c2ccccn2)nc1,1.9560999999999995,0,3,2,42.85,22,52.85550000000001,True,True
O=Cc1cc(-c2cccnc2)ncc1F,2.0952,0,3,2,42.85,22,52.81350000000001,True,True
