SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS
CCc1ccc[n+](NC(=O)c2ccccc2)c1.[Cl-],-1.0755999999999983,1,1,4,32.980000000000004,33,66.14820000000003,True,False,True
C[C@H](N)c1ccncc1.Cl.Cl,1.9449000000000003,1,2,3,38.91,23,51.33540000000003,True,False,True
Cl.Cl.Nc1ccc(OC2CCCC2)nc1,2.8288,1,3,3,48.14,31,66.02940000000002,True,False,True
COc1cnccc1CN.Cl.Cl,1.3924999999999998,1,3,4,48.14,24,53.17640000000002,True,False,True
Cl.O=C(O)C1(c2ccccn2)CC1,1.6196,1,3,2,50.19,23,50.03280000000002,True,False,True
Cc1cccnc1/C=C/C(=O)O.Cl,1.90962,1,3,3,50.19,23,52.89180000000002,True,False,True
NCc1nc(-c2cccnc2)no1.O=C(O)C(F)(F)F,1.2236,2,7,3,115.13,29,59.1112,True,False,True
COc1ccc(/C=C/C(=O)O)nc1.Cl,1.6098,1,4,4,59.42,24,54.706800000000015,True,False,True
Cl.ClC(c1ccccc1)c1ccncc1,3.8316000000000026,0,1,2,12.89,26,65.62300000000003,True,False,True
Cl.Cl.c1cncc(-n2ccnc2)c1,2.110899999999999,0,3,1,30.71,22,55.855000000000025,True,False,True
Cl.O=C(c1ccncc1)C1CCCNC1,1.6857,1,3,2,41.99,30,61.409200000000034,True,False,True
COc1cc2c(cn1)CCNC2.Cl.Cl,1.5794999999999997,1,3,2,34.15,28,60.69570000000003,True,False,True
Cl.Cl.c1ccc(SC2CCNCC2)nc1,2.7693000000000003,1,3,2,24.92,31,70.48170000000003,True,False,True
Cl.Cl.c1ccc2nc(N3CCNCC3)ccc2c1,2.4879999999999995,1,3,1,28.160000000000004,35,81.32170000000004,True,False,True
Cl.O=C(CCl)Cc1ccncc1,1.8538,0,2,3,29.96,21,50.916000000000025,True,False,True
F[B-](F)(F)c1ccc2cccnc2c1.[K+],-0.7068000000000005,0,1,1,12.89,21,50.45500000000002,True,False,True
COc1cccc(CN)n1.Cl,0.9707,1,3,4,48.14,22,45.92840000000002,True,False,True
Cl.Cl.NCc1cncc(C(F)(F)F)c1,2.4027000000000003,1,2,2,38.91,23,51.62640000000001,True,False,True
Cl.Cl.O=C1CCC(CNCc2ccncc2)N1,1.2933999999999997,2,3,4,54.02,34,71.60440000000004,True,False,True
O=[N+]([O-])c1ccccc1C[n+]1ccccc1.[Br-],-1.0653999999999997,0,2,3,47.02,28,58.835400000000035,True,False,True
Cl.NCc1ccc(N2CCOCC2)nc1,0.7987000000000002,1,4,3,51.379999999999995,31,62.40840000000003,True,False,True
Cl.N=C(N)c1cccc(OCc2ccccc2)n1,2.3664700000000005,2,3,4,71.99000000000001,32,73.27510000000002,True,False,True
CN(C)c1ncccc1N.Cl.Cl,1.5734,1,3,4,42.150000000000006,25,57.47240000000003,True,False,True
Cl.Cl.OC1(c2ccccn2)CCNCC1,1.4961999999999993,2,3,2,45.150000000000006,31,64.73350000000003,True,False,True
CNCc1ccc(Oc2ncccc2C#N)cc1.Cl,2.886780000000002,1,4,5,57.94,33,75.47970000000004,True,False,True
Cl.N=C(N)c1ccc(C2CCCCC2)cn1,2.8351700000000015,2,2,2,62.760000000000005,34,68.32710000000003,True,False,True
Cl.Cl.O=C(O)C1CCCN1Cc1ccccn1,1.9742,1,4,3,53.43,33,69.80080000000004,True,False,True
Cc1ccc(OC2CCNCC2)nc1.Cl.Cl,2.364420000000001,1,3,3,34.15,34,69.98970000000003,True,False,True
Cl.Cl.NC1(c2ccc(F)cn2)CC1,2.0120999999999993,1,2,2,38.91,24,53.79040000000002,True,False,True
Cl.N#Cc1ccnc(OCC2CCCCN2)c1,1.8959799999999996,1,4,3,57.94,33,67.33670000000004,True,False,True
CS(=O)(=O)c1cccnc1CN.Cl,0.3656000000000001,1,4,4,73.05,24,52.486200000000025,True,False,True
Cc1ccnc(NC2CCNCC2)c1.Cl,1.9757200000000004,2,3,3,36.95,33,65.73640000000003,True,False,True
Cl.O=C(O)Cc1cn2cc(Cl)cc(Cl)c2n1,2.6900000000000013,1,4,2,54.599999999999994,23,63.79980000000002,True,False,True
Cl.Cl.O=C(N[C@@H]1CCCNC1)c1ccccn1,1.4069999999999998,2,3,2,54.02,34,72.09090000000003,True,False,True
Cl.O=C(O)C1CCN(Cc2ccncc2)CC1,1.7999999999999998,1,4,3,53.43,34,67.12180000000004,True,False,True
