SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN
Cc1ccc(-c2nc3ccc(C)cn3c2C(=O)O)cc1,3.316340000000001,1,4,4,54.60000000000001,34,77.06130000000003,True,False,False,True
O=c1cc(O)c2cccc3c2n1-c1ccccc1CC3,2.7949,1,3,1,42.23,33,78.61780000000003,True,False,False,True
CCOC(=O)c1nc2ccccn2c1C=O,1.3235,0,5,4,60.669999999999995,26,56.53600000000002,True,False,False,True
CCOC(=O)c1cn2cc(F)cc(Br)c2n1,2.412600000000001,0,4,3,43.6,24,58.806500000000014,True,False,False,True
Cc1nc(CCC(=O)O)n2ccccc12,1.6599199999999998,1,4,4,54.599999999999994,27,55.885800000000025,True,False,False,True
O=[N+]([O-])c1cccc(-c2cn3ccccc3n2)c1,2.9095000000000004,0,4,2,60.44,27,67.28240000000002,True,False,False,True
Cc1ccc(C)n1-c1ccc(B2OC(C)(C)C(C)(C)O2)cn1,2.7883400000000007,0,4,8,36.28,45,88.75400000000006,True,False,False,True
Cc1cccn2c(=O)cc(CN(C)c3ccccc3)nc12,2.639320000000001,0,4,5,37.61,38,84.74800000000005,True,False,False,True
Nc1ccc2ncn(-c3cncc(Br)c3)c2c1,2.765200000000001,1,4,2,56.73,26,70.9774,True,False,False,True
Cc1cccc2ncc([N+](=O)[O-])n12,1.55092,0,4,2,60.44,20,46.58340000000001,True,False,False,True
COc1ccc(-c2nc(C(C)=O)c3ccccn23)cc1,3.2125000000000012,0,4,5,43.599999999999994,34,77.18450000000003,True,False,False,True
CCCCOC(=O)Cc1c(O)nc2ccccn2c1=O,1.2858999999999998,1,6,7,80.9,36,72.69780000000003,True,False,False,True
COc1ccc(-c2nnc3c(C(=O)O)cccn23)cc1,2.1031,1,6,4,76.72,31,71.93430000000002,True,False,False,True
CCCCc1nnc2ccc(C(=O)O)cn12,1.7701,1,5,5,67.49,29,58.558300000000024,True,False,False,True
O=C(O)c1cccn2c(CN3CCCC3)cnc12,1.6283,1,5,3,57.84,33,66.66230000000002,True,False,False,True
COC(=O)c1cccn2ccnc12,1.1208999999999998,0,4,2,43.6,21,46.53150000000002,True,False,False,True
CN(C)c1nc(C=O)c2ccccn12,1.2128,0,4,4,37.61,25,54.90650000000002,True,False,False,True
CCOC(=O)c1nc2ccccn2c1N,1.0932,1,5,4,69.61999999999999,26,55.56090000000002,True,False,False,True
CC(C)(N)Cc1cn2ccccc2n1,1.6141,1,3,5,43.32,29,57.162400000000034,True,False,False,True
Cc1nnc2cc(B(O)O)ccn12,-1.2824800000000005,2,5,4,70.65,21,47.54960000000002,True,False,False,True
c1ccn2c(CNC3CCCC3)nnc2c1,1.7614999999999998,1,4,3,42.22,32,62.08270000000004,True,False,False,True
c1cc(-c2cn3ccsc3n2)ccn1,2.4578,0,4,1,30.19,21,56.300000000000026,True,False,False,True
COc1ccc(-n2cnc3ncccc32)cc1,2.4291,0,4,3,39.94,28,65.41700000000003,True,False,False,True
O=C(O)c1ccc(-n2cnnc2)nc1,0.3604999999999999,1,6,2,80.89999999999999,20,46.11330000000001,True,False,False,True
Cc1cc(C)c2c(-n3cccc3)c(C(=O)O)sc2n1,3.4020400000000013,1,5,4,55.120000000000005,31,75.38030000000003,True,False,False,True
CNCc1nnc2cc(C(F)(F)F)ccn12,1.4674999999999998,1,4,3,42.22,25,50.75270000000002,True,False,False,True
O=C(O)C1CCCN(Cc2cn3ccccc3n2)C1,1.6309,1,5,3,57.84,36,70.82880000000003,True,False,False,True
NNC(=O)c1cccn2ccnc12,-0.0622000000000009,2,4,2,72.42,21,46.845600000000005,True,False,False,True
c1cnc2nc(-c3ccncc3)cn2c1,1.7913,0,4,1,43.08,23,56.218000000000025,True,False,False,True
COc1ccn2c(C=O)cnc2c1,1.1554,0,4,3,43.6,21,47.13150000000001,True,False,False,True
NCc1ccc2nnc(-c3cccc(F)c3)n2c1,1.9941,1,4,3,56.209999999999994,29,66.2724,True,False,False,True
Brc1cnc2c(-c3ccccc3)cccn12,3.7638000000000025,0,2,1,17.3,25,68.32800000000002,True,False,False,True
O=C(O)CSc1nnc2ccccn12,0.906,1,6,3,67.49,21,51.34680000000001,True,False,False,True
O=[N+]([O-])c1cccc(-c2nc(/C=N/O)c3ccccn23)c1,2.7176,1,6,4,93.03,31,76.66290000000001,True,False,False,True
Cc1nc2ccccn2c1-c1csc(N)n1,2.34842,1,5,3,56.21,26,65.44940000000001,True,False,False,True
Cc1cc(=O)n2ccccc2n1,1.00292,0,3,1,34.370000000000005,20,46.19900000000003,True,False,False,True
O=C(O)Cc1cn2cc(C(F)(F)F)ccc2n1,1.9802,1,4,2,54.599999999999994,24,51.53380000000002,True,False,False,True
Cc1cccc(-n2cnc(C(=O)O)c2)n1,1.27392,1,5,3,68.01,24,53.05530000000001,True,False,False,True
CCOC(=O)c1cn2ccc(C)cc2n1,1.81942,0,4,4,43.6,27,55.88550000000002,True,False,False,True
O=C(O)c1c(-c2ccccc2F)nc2ccccn12,2.8386000000000005,1,4,2,54.599999999999994,28,67.54530000000001,True,False,False,True
CCOC(=O)c1cn2cc(C)ccc2n1,1.81942,0,4,4,43.6,27,55.88550000000002,True,False,False,True
O=S(=O)(Cl)Cc1cn2ccccc2n1,1.4029,0,4,2,51.44,21,53.66880000000002,True,False,False,True
O=c1oc(=O)n(-c2ccccc2)c2ncccc12,1.3388999999999998,0,5,1,65.1,26,65.87600000000002,True,False,False,True
COc1ccc(-n2cn[nH]c2=S)cn1,1.3334899999999998,1,5,3,55.73,22,53.09570000000001,True,False,False,True
c1csc(CNCCc2cn3ccccc3n2)c1,2.7281000000000004,1,4,5,29.33,33,74.92170000000004,True,False,False,True
CCOC(=O)c1ncn2ccc(Br)cc12,2.2735000000000003,0,4,3,43.599999999999994,24,58.84850000000003,True,False,False,True
NCC1(Cc2nnc3ccccn23)CCCCC1,2.181,1,4,4,56.209999999999994,38,71.26340000000003,True,False,False,True
Cc1nc2cc(Br)ccn2c1C(=O)O,2.10342,1,4,2,54.60000000000001,21,54.58830000000001,True,False,False,True
Cc1noc(-c2ccn3c(CCl)nnc3c2)n1,1.8265199999999997,0,6,3,69.11,25,60.573000000000015,True,False,False,True
N/N=C/c1nc(-c2cccs2)n2ccccc12,2.3554000000000004,1,5,3,55.67999999999999,27,70.28640000000001,True,False,False,True
N/C(=N/O)c1ccc(-n2cnc3ccccc32)nc1,1.515,2,5,3,89.32000000000001,30,71.37590000000002,True,False,False,True
