Name,Etot (Eh),C6AA_DISPERSION,C8AA_DISPERSION,Molecular Polarizability,Dipole from Density,HOMO/LUMO Gap (eV),Repulsion Energy (Eh),Isotropic ES (Eh),AnisotropicES (Eh),AnisotropicXC (Eh),Dispersion Energy (Eh),HOMO Energy (Eh),LUMO Energy (Eh),NFOD,Molecular Dipole
ADZGFLWGSFWWDY-UHFFFAOYSA-N,-39.99964875,6960.139492,177084.267,128.332167,3.52,2.630604192,0.442713551,0.059832593,0.000940391,0.014329681,-0.020295653,-0.3966533,-0.2999803,0.2496,3.985
CBIVEMGUNRNUEB-UHFFFAOYSA-N,-40.52157004,7098.147703,168421.5823,131.13722,1.711,2.647644226,0.549935919,0.056943942,0.003084936,0.01611132,-0.021223712,-0.3815145,-0.2842153,0.243,1.739
OSGBHXFASGUEFJ-UHFFFAOYSA-N,-36.8416691,4951.779155,114690.3474,107.28258,1.306,3.454471555,0.403607889,0.06015974,0.006935946,0.007550206,-0.018363628,-0.3790853,-0.2521358,0.1025,1.491
PILDWRGFGKVUSE-UHFFFAOYSA-N,-38.96323485,5852.835642,137642.36,118.037605,0.803,2.222032757,0.463266218,0.068850552,0.000519583,0.014048284,-0.017874378,-0.3953413,-0.3136831,0.412,2.076
QKCRVRSYXLBOET-UHFFFAOYSA-N,-41.85330094,5726.261127,134665.6698,115.931118,5.509,2.526321926,0.428804125,0.079274091,0.005552344,0.012683896,-0.018820128,-0.4128864,-0.3200458,0.3745,7.489
JTDPJYXDDYUJBS-UHFFFAOYSA-N,-38.81016935,7205.451703,174840.0967,134.668154,2.935,2.29574074,0.588748427,0.05035399,0.005584585,0.026148465,-0.022221796,-0.3744566,-0.2900897,0.3995,2.832
QBXCLJYVSNJXSS-UHFFFAOYSA-N,-40.12254338,6393.081029,157429.3082,125.871919,2.335,2.92807484,0.544925807,0.076317288,0.003716507,0.012360987,-0.022125307,-0.3881085,-0.2805037,0.2125,2.295
LYJJNCKUSDHNQR-UHFFFAOYSA-N,-40.01555608,6233.163411,143306.9821,120.979011,1.755,3.584999232,0.467784551,0.066309315,-0.000130416,0.012978631,-0.019065874,-0.3783839,-0.2466376,0.1066,1.848
BXSRCFBJJKYNGE-UHFFFAOYSA-N,-36.19083656,5409.405647,124913.7635,113.637291,4.563,2.465831355,0.432273092,0.059033319,0.005331267,0.017829313,-0.017623206,-0.3720721,-0.2814545,0.2858,4.571
NERRGHOQSMUIJO-UHFFFAOYSA-N,-35.81334292,6790.195432,161000.9578,128.713624,0.989,3.196777515,0.555655471,0.021487322,0.007084875,0.024021184,-0.0236003,-0.3606749,-0.2431955,0.1619,1.679
